Object ID,National Inventory of Dams ID (NID ID),Other Structure ID,Federal ID,Data Last Updated,Dam Name,Other Names,Owner Types,Primary Owner Type,State or Federal Agency ID,Number of Associated Structures,Designer Names,Non-Federal Dam on Federal Property,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Source Agency,Latitude (North–South),Longitude (East–West),State or Territory,County and State,Nearest City or Town,Distance to Nearest City/Town (Miles),River or Stream,Congressional Representative District,Congressional Representative,Federal Agency Owner,Federal Agency Involvement in Funding,Federal Agency Involvement in Design,Federal Agency Involvement in Construction,Federal Agency Involvement in Regulatory,Federal Agency Involvement in Inspection,Federal Agency Involvement in Operation,Federal Agency Involvement – Other,Primary Purpose,Purposes,Primary Dam Type,Dam Types,Core Types,The material upon which dam is founded,Dam Height (feet),Hydraulic Height (feet),Structural Height (feet),National Inventory of Dams (NID) Height,Dam Length (feet),Dam Volume (cubic yards),Year Completed,National Inventory of Dams (NID) Storage,Maximum Storage,Normal Storage (acre feet),Surface Area (acres),Drainage Area (Square Miles),Maximum Discharge,Spillway Type,Spillway Width (feet),Number of Locks,Length of Locks (feet),Lock Width (feet),Year Modified,Outlet Gates,Number of Associated Structures,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Dam Condition Assessment,Recent Dam Assessment Date,Emergency Action Plan (EAP) Prepared,Emergency Action Plan (EAP) Last Reviewed Date,SE_ANNO_CAD_DATA,Former Names,Is Associated Structure?,American Indian/Alaska Native/Native Hawaiian,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Natural Resources Conservation Service (NRCS) Watershed Dam Authorization,Operational Status,Operational Status Date,Website URL,x,y
1,CA00391,S001,CA00391S001,4/29/2025 12:00:00 PM,Stanislaus Forebay East,,Private,Private,02130-01-02,1,,No,,No,,No,No,No,FERC,38.1461,-120.3547,California,"Tuolumne, California",Murphys,4,North Fork Stanislaus River-os,"Congressional District 05, California",Tom McClintock (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,Hydroelectric,Earth,Earth,,,55,,,55,400,,1908,320,320,320,16.3,,540,Uncontrolled,34,,,,,,CA00391,8/13/2019 12:00:00 PM,3,Low,Satisfactory,9/29/2023 12:00:00 PM,,12/23/2021 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-120.3547,38.1461
2,CA00411,S001,CA00411S001,4/29/2025 12:00:00 PM,Wishon Auxiliary No. 1,,Private,Private,01988-02-02,1,,Yes,,No,,No,No,No,FERC,37.006,-118.971,California,"Fresno, California",Wishon Village,1,North Fork Kings River        ,"Congressional District 05, California",Tom McClintock (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,Hydroelectric,Concrete,"Concrete, Gravity",Multi-Arch,Unlisted/Unknown,26,26,26,26,220,,1958,133600,133600,129118,1025,177,52000,None,,,,,,,CA00411,8/17/2023 12:00:00 PM,1,Significant,Satisfactory,9/29/2023 12:00:00 PM,,12/30/2022 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-118.971,37.006
3,CA00422,S001,CA00422S001,4/29/2025 12:00:00 PM,Alpine Auxiliary No. 2,,Private,Private,11563-01-02,3,,No,,No,,No,No,No,FERC,38.4722,-120.0052,California,"Alpine, California",Dorrington                                        ,19,Silver Creek                  ,"Congressional District 03, California",Tom McClintock (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,"Hydroelectric, Recreation, Water Supply",Rockfill,Rockfill,,,21,21,21,21,166,,,4300,4300,4120,172,5,3400,Uncontrolled,166,,,,,,"CA00422, CA00422S002, CA00422S003",8/10/2022 12:00:00 PM,3,Low,Satisfactory,9/29/2023 12:00:00 PM,,12/6/2021 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-120.0052,38.4722
4,CA00434,S001,CA00434S001,4/29/2025 12:00:00 PM,Big Creek Dam No. 2,Huntington Lake No. 2,Private,Private,02175-01-02,3,,Yes,,No,,No,No,No,FERC,37.228826,-119.2242,California,"Fresno, California",Big Creek                                         ,2,Big Creek                     ,"Congressional District 05, California",Tom McClintock (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,"Hydroelectric, Recreation",Concrete,"Concrete, Gravity, Rockfill",Multi-Arch,Rock,120,120,,120,1862,,1917,89800,89800,89166,1435,80.5,,None,,,,,,,"CA00434, CA00434S002, CA00434S003",8/1/2023 12:00:00 PM,1,High,Satisfactory,9/29/2023 12:00:00 PM,,10/18/2022 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-119.2242,37.228826
7,CA00256,S001,CA00256S001,4/29/2025 12:00:00 PM,Faucherie Spillway Auxiliary,,Public Utility,Public Utility,02266-06-02,1,"Ebasco Services, Inc.",No,,No,,No,No,No,FERC,39.429,-120.5671,California,"Nevada, California",Canyon Creek Campground,2,Canyon Creek                  ,"Congressional District 03, California",Doug LaMalfa (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Irrigation,"Hydroelectric, Irrigation, Recreation, Water Supply",Gravity,"Concrete, Gravity",Multi-Arch,Rock,3,3,3,3,150,,1966,5500,,5500,152,10,10050,Uncontrolled,150,,,,,,CA00256,8/22/2023 12:00:00 PM,1,High,Satisfactory,9/29/2023 12:00:00 PM,,12/8/2022 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-120.5671,39.429
14,CA10141,S001,CA10141S001,10/22/2025 12:00:00 PM,Clear Lake Dike 1,Clear Lake Reservoir,Federal,Federal,,1,,No,No,No,,No,No,No,DOI BR,41.7982,-121.1653,California,"Modoc, California",PEREZ,30,LOST RIVER,"Congressional District 01, California",Doug LaMalfa (R),Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Irrigation,Irrigation,Rockfill,"Earth, Rockfill",,,13,6,12,13,1600,,1910,584050,597500,374080,23960,735,5650,Uncontrolled,357,0,0,0,,,CA10141,3/4/2022 12:00:00 PM,4,High,Not Available,,,4/27/2022 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,,,https://www.usbr.gov/ssle/damsafety/,-121.1653,41.7982000000001
15,CA10143,S001,CA10143S001,11/21/2024 12:00:00 PM,Contra Loma Dike 2,Contra Loma Reservoir,Federal,Federal,,2,,No,No,No,,No,No,No,DOI BR,37.9748,-121.8221,California,"Contra Costa, California",ANTIOCH,1,SAN JOAQ RIVER OS,"Congressional District 10, California",Jerry McNerney (D),Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,Hydroelectric,"Hydroelectric, Irrigation, Recreation",Earth,Earth,,,25,11,25,25,360,,1967,2630,2630,2095,81,1,0,Uncontrolled,15,0,0,0,,,"CA10143, CA10143S002",6/9/2021 12:00:00 PM,6,Low,Not Available,,,3/31/2022 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,,,https://www.usbr.gov/ssle/damsafety/,-121.8221,37.9748000000001
16,CA10148,S001,CA10148S001,11/21/2024 12:00:00 PM,Folsom Dike 1,Folsom Lake,Federal,Federal,,11,,No,No,No,,No,No,No,DOI BR,38.7625,-121.1469,California,"Placer, California",HIDDEN VALLEY,1,AMERICAN RIVER,"Congressional District 03, California",Tom McClintock (R),Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Flood Risk Reduction,"Flood Risk Reduction, Hydroelectric, Irrigation, Recreation, Water Supply",Earth,Earth,,,25,20,25,25,2060,,1956,1120000,976955,,11180,1570,0,None,0,0,0,0,,,"CA10148, CA10148S002, CA10148S003, CA10148S004, CA10148S005, CA10148S006, CA10148S007, CA10148S008, CA10148S009, CA10148S010, CA10148S011",9/15/2020 12:00:00 PM,4,High,Not Available,,,11/30/2021 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,,,https://www.usbr.gov/ssle/damsafety/,-121.1469,38.7625
17,CA10192,S001,CA10192S001,10/22/2025 12:00:00 PM,Stampede Dike,Stampede Reservoir,Federal,Federal,,1,BUREAU OF RECLAMATION,No,No,No,,No,No,No,DOI BR,39.4704,-120.1104,California,"Sierra, California",TRUCKEE,14,LITTLE TRUCKEE RIVER,"Congressional District 03, California",Doug LaMalfa (R),Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Flood Risk Reduction,"Fish and Wildlife Pond, Flood Risk Reduction, Recreation",Earth,Earth,,,85,90,85,90,1600,,1970,280100,339100,226500,3885,135,0,None,0,0,0,0,,,CA10192,8/9/2023 12:00:00 PM,4,High,Not Available,,,11/1/2021 12:00:00 PM,System.Byte[],,Yes,,Yes,No,N/A,,,https://www.usbr.gov/ssle/damsafety/,-120.1104,39.4704
18,CA10199,S001,CA10199S001,11/21/2024 12:00:00 PM,West Side Detention Dike 3,Cahuilla,Federal,Federal,,2,,No,No,No,,No,No,No,DOI BR,33.63348605,-116.2727059,California,"Riverside, California",,0,WHITEWATER RIVER OS,"Congressional District 41, California",Raul Ruiz (D),Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Irrigation,"Irrigation, Recreation",Earth,Earth,,,22,15,22,22,6279,,1970,1300,1300,0,,,0,Uncontrolled,0,0,0,0,,,"CA10199, CA10199S002",2/6/2018 12:00:00 PM,6,Low,Not Available,,,,System.Byte[],,Yes,,Yes,No,N/A,,,https://www.usbr.gov/ssle/damsafety/,-116.2727059,33.633486052
