OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Residential,461.5012,,,
Residential,576.8832,,,
Residential,395.5743,,,
Residential,3626.106,740 NORTH NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,906.5269,342 NORTH 700 EAST,BOUNTIFUL,
Residential,2109.738,1399 EAST VINEYARD DRIVE,BOUNTIFUL,
Residential,2637.143,304 WEST 600 NORTH,BOUNTIFUL,
Residential,3296.44,1200 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1631.741,92 WEST 800 NORTH,BOUNTIFUL,
Commercial,6329.179,395 WEST 400 NORTH,BOUNTIFUL,
Residential,2637.167,1387 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,1582.295,237 EAST 300 NORTH,BOUNTIFUL,
Residential,2340.483,498 NORTH 1200 EAST,BOUNTIFUL,
Residential,1714.14,825 NORTH 325 WEST,BOUNTIFUL,
Residential,527.4314,60 NORTH 300 EAST,BOUNTIFUL,
Residential,3164.609,277 EAST 300 NORTH,BOUNTIFUL,
Residential,1318.572,308 NORTH 300 WEST,BOUNTIFUL,
Agriculture,6329.164,210 NORTH FAIRWIND CIRCLE,WEST BOUNTIFUL,
Residential,1648.222,296 EAST 900 NORTH,BOUNTIFUL,
Residential,1582.274,996 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,3461.256,535 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2373.425,649 EAST CENTER STREET,BOUNTIFUL,
Residential,2109.725,583 NORTH 840 WEST,WEST BOUNTIFUL,
Agriculture,3296.443,210 NORTH FAIRWIND CIRCLE,WEST BOUNTIFUL,
Residential,2900.883,812 NORTH 900 WEST,WEST BOUNTIFUL,
Residential,2373.441,15 SOUTH 1250 EAST,BOUNTIFUL,
Residential,988.9299,567 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2818.459,336 NORTH 600 EAST,BOUNTIFUL,
Residential,1977.875,832 NORTH 650 EAST,BOUNTIFUL,
Assembly,2637.145,835 NORTH MAIN STREET,BOUNTIFUL,
Residential,4153.53,681 EAST CENTER STREET,BOUNTIFUL,
Residential,2307.521,827 NORTH NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,527.4333,,,
Residential,593.3593,,,
Residential,3988.699,,,
Residential,3626.091,,,
Residential,1977.855,1086 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,3395.353,83 EAST 550 NORTH,BOUNTIFUL,
Residential,4120.57,1445 EAST 250 NORTH,BOUNTIFUL,
Residential,1977.9,56 WEST 800 NORTH,BOUNTIFUL,
Residential,2637.164,,,
Residential,2966.797,,,
Residential,2109.715,,,
Residential,1994.352,566 NORTH 840 WEST,WEST BOUNTIFUL,
Residential,1582.302,1003 EAST CENTER STREET,BOUNTIFUL,
Residential,2109.739,1018 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,1071.346,548 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2966.776,544 EAST 350 NORTH,BOUNTIFUL,
Residential,2225.102,646 EAST 350 NORTH,BOUNTIFUL,
Residential,5966.579,817 NORTH 250 WEST,BOUNTIFUL,
Residential,1186.725,825 NORTH CHAPEL DRIVE,BOUNTIFUL,
Residential,2637.156,,,
Residential,2637.148,,,
Residential,2109.726,,,
Residential,3691.991,679 EAST CENTER STREET,BOUNTIFUL,
Residential,2966.819,,,
Residential,2966.801,,,
Residential,2966.786,,,
Residential,1846.014,554 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,2373.444,320 NORTH 200 WEST,BOUNTIFUL,
Residential,1977.873,829 NORTH 800 EAST,BOUNTIFUL,
Residential,791.1434,64 NORTH 200 EAST,BOUNTIFUL,
Residential,2109.718,831 NORTH 700 EAST,BOUNTIFUL,
Residential,2373.447,,,
Residential,527.4398,,,
Education,47271.04,500 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2801.968,622 EAST 350 NORTH,BOUNTIFUL,
Residential,988.9316,256 EAST 100 NORTH,BOUNTIFUL,
Residential,791.153,721 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,395.5787,,,
Agriculture,741.7048,,,
Residential,3955.746,1378 EAST SKYLINE DRIVE,BOUNTIFUL,
Industrial,22201.58,,,
Agriculture,1318.563,,,
Residential,2109.722,564 EAST 350 NORTH,BOUNTIFUL,
Residential,1582.294,828 NORTH 700 EAST,BOUNTIFUL,
Residential,1928.421,70 WEST 800 NORTH,BOUNTIFUL,
Agriculture,593.3622,,,
Agriculture,593.3679,2165 WEST WATER CANYON ROAD,,
Residential,4153.521,1353 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Agriculture,527.4327,2165 WEST WATER CANYON ROAD,,
Residential,692.2563,555 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,3164.578,535 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2900.869,634 EAST 350 NORTH,BOUNTIFUL,
Agriculture,807.636,,,
Residential,3856.871,662 EAST 350 NORTH,BOUNTIFUL,
Residential,3263.476,1371 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,659.2864,325 NORTH 100 WEST,BOUNTIFUL,
Residential,988.9381,98 WEST 800 NORTH,BOUNTIFUL,
Commercial,791.153,570 WEST 550 NORTH,WEST BOUNTIFUL,
Residential,2801.975,1413 EAST CENTER STREET,BOUNTIFUL,
Residential,2769.011,55 NORTH PEREGRINE LANE,BOUNTIFUL,
Residential,2076.756,490 NORTH 1000 EAST,BOUNTIFUL,
Commercial,8026.864,305 NORTH 200 WEST,BOUNTIFUL,
Residential,2439.358,834 NORTH 750 EAST,BOUNTIFUL,
Residential,3131.631,230 WEST CENTER STREET,BOUNTIFUL,
Residential,2241.584,47 NORTH 800 EAST,BOUNTIFUL,
Residential,593.3589,315 NORTH 400 EAST,BOUNTIFUL,
Residential,593.3607,830 NORTH 400 EAST,BOUNTIFUL,
Agriculture,1977.886,2165 WEST WATER CANYON ROAD,,
Residential,2373.44,548 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2801.967,741 EAST CENTER STREET,BOUNTIFUL,
Residential,45243.68,523 NORTH MAIN STREET,BOUNTIFUL,
Residential,3082.186,322 NORTH 300 EAST,BOUNTIFUL,
Residential,3296.472,784 NORTH EAGLE RIDGE DRIVE,BOUNTIFUL,
Residential,2373.433,677 EAST CENTER STREET,BOUNTIFUL,
Residential,593.3571,890 NORTH 950 EAST,BOUNTIFUL,
Residential,5439.148,992 EAST 550 NORTH,BOUNTIFUL,
Residential,3560.174,350 NORTH 1300 EAST,BOUNTIFUL,
Industrial,12608.9,,,
Commercial,988.937,56 WEST 300 NORTH,BOUNTIFUL,
Residential,1911.933,186 WEST 300 NORTH,BOUNTIFUL,
Residential,1450.434,855 NORTH NORTHERN HILLS CIRCLE,BOUNTIFUL,
Commercial,4285.391,499 NORTH 200 WEST,BOUNTIFUL,
Residential,659.2877,1665 EAST VIEWCREST DRIVE,BOUNTIFUL,
Residential,4483.18,984 EAST 550 NORTH,BOUNTIFUL,
Residential,1582.291,157 EAST 800 NORTH,BOUNTIFUL,
Residential,1714.146,78 WEST 800 NORTH,BOUNTIFUL,
Residential,1499.888,555 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,791.1426,305 NORTH 200 EAST,BOUNTIFUL,
Residential,3082.18,34 SOUTH 1300 EAST,BOUNTIFUL,
Residential,2126.219,290 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,1186.728,62 WEST 800 NORTH,BOUNTIFUL,
Residential,2637.149,920 EAST 550 NORTH,BOUNTIFUL,
Residential,890.0482,48 NORTH 300 EAST,BOUNTIFUL,
Residential,3395.347,980 EAST 550 NORTH,BOUNTIFUL,
Residential,1384.499,152 WEST 300 NORTH,BOUNTIFUL,
Residential,1846.029,835 NORTH 750 EAST,BOUNTIFUL,
Residential,1780.089,24 NORTH 750 EAST,BOUNTIFUL,
Residential,1483.391,197 EAST 800 NORTH,BOUNTIFUL,
Residential,2109.724,490 NORTH 900 EAST,BOUNTIFUL,
Residential,1582.313,450 EAST 350 NORTH,BOUNTIFUL,
Residential,2801.985,12 SOUTH MOSS HILL DRIVE,BOUNTIFUL,
Residential,346.1217,310 NORTH 400 EAST,BOUNTIFUL,
Commercial,16811.88,801 NORTH 500 WEST,WEST BOUNTIFUL,
Residential,1483.397,48 WEST 800 NORTH,BOUNTIFUL,
Agriculture,659.2932,,,
Residential,1714.139,47 NORTH 300 EAST,BOUNTIFUL,
Residential,2109.741,930 EAST 550 NORTH,BOUNTIFUL,
Residential,2900.873,133 EAST 300 NORTH,BOUNTIFUL,
Residential,1236.188,92 WEST CENTER STREET,BOUNTIFUL,
Residential,1269.137,86 WEST 800 NORTH,BOUNTIFUL,
Residential,2769.011,296 WEST 600 NORTH,BOUNTIFUL,
Government,3444.803,305 NORTH MAIN STREET,BOUNTIFUL,
Residential,1450.423,38 NORTH 200 EAST,BOUNTIFUL,
Residential,791.1397,315 NORTH 400 EAST,BOUNTIFUL,
Residential,1813.051,42 WEST 800 NORTH,BOUNTIFUL,
Residential,1582.311,,,
Residential,5439.169,404 WEST CENTER STREET,BOUNTIFUL,
Residential,3461.281,535 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,1813.052,155 EAST 300 NORTH,BOUNTIFUL,
Residential,1648.218,823 NORTH 275 WEST,BOUNTIFUL,
Commercial,461.5026,48 NORTH 200 WEST,BOUNTIFUL,
Residential,1977.862,28 WEST 800 NORTH,BOUNTIFUL,
Residential,3856.847,1463 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2505.306,600 NORTH 975 WEST,WEST BOUNTIFUL,
Residential,1813.04,578 NORTH 900 WEST,WEST BOUNTIFUL,
Residential,791.1453,306 NORTH 200 EAST,BOUNTIFUL,
Residential,543.9127,168 WEST CENTER STREET,BOUNTIFUL,
Residential,2142.685,305 NORTH 100 EAST,BOUNTIFUL,
Commercial,3444.79,797 NORTH PARK SHADOWS LANE,BOUNTIFUL,
Residential,3115.149,929 EAST CENTER STREET,BOUNTIFUL,
Residential,2670.115,489 NORTH 1250 EAST,BOUNTIFUL,
Residential,1450.436,167 EAST 300 NORTH,BOUNTIFUL,
